emp_no,first_name,last_name,birth_date,from_date,to_date,title
10002,Bezalel,Simmel,1964-06-02,1996-08-03,9999-01-01,Staff
10092,Valdiodio,Niizuma,1964-10-18,1996-04-22,9999-01-01,Engineer
10093,Sailaja,Desikan,1964-06-11,1997-06-08,9999-01-01,Staff
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Staff
10156,Sumali,Fargier,1964-09-19,1993-05-14,9999-01-01,Senior Engineer
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Staff
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Senior Engineer
10211,Vishu,Strehl,1964-08-05,1991-11-22,9999-01-01,Senior Engineer
10226,Xinglin,Plessier,1964-12-28,1996-01-29,9999-01-01,Staff
10238,Mototsugu,Gire,1964-11-02,1996-05-25,9999-01-01,Engineer
10247,Heon,Riefers,1964-06-30,1992-08-14,9999-01-01,Senior Engineer
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Staff
10279,Barton,Jumpertz,1964-08-20,1999-07-11,9999-01-01,Engineer
10280,Stabislas,Delgrange,1964-10-29,1995-01-27,9999-01-01,Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Staff
10309,Prodip,Schusler,1964-11-06,1997-05-02,9999-01-01,Assistant Engineer
10378,Takahira,Lichtner,1964-09-05,1992-08-31,9999-01-01,Senior Staff
10469,Munehiko,Ananiadou,1964-12-22,1992-12-26,9999-01-01,Senior Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
10491,Garnik,Narahari,1964-09-09,1990-01-17,9999-01-01,Staff
10498,Valter,Cappelletti,1964-09-15,1994-03-09,9999-01-01,Engineer
10527,Tetsushi,Barvinok,1964-09-15,1996-01-25,9999-01-01,Technique Leader
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Staff
10558,Hisao,Famili,1964-10-08,1992-04-22,9999-01-01,Senior Engineer
10592,Almudena,Alvarado,1964-08-01,1993-09-27,9999-01-01,Staff
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,Senior Engineer
10607,Rosalyn,Hambrick,1964-11-30,1996-01-13,9999-01-01,Engineer
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Staff
10681,Florina,Garnier,1964-12-25,2002-01-08,9999-01-01,Staff
