emp_no,first_name,last_name,to_date,hire_date,from_date,title,present_date,days_of_service
230562,Ymte,Loncour,9999-01-01,1996-11-17,2001-03-02,Staff,2021-06-09,8970
428683,Gaetan,Whitcomb,9999-01-01,1998-02-01,1998-02-01,Staff,2021-06-09,8529
10019,Lillian,Haddadi,9999-01-01,1999-04-30,1999-04-30,Staff,2021-06-09,8076
10024,Suzette,Pettey,9999-01-01,1997-05-19,1998-06-14,Assistant Engineer,2021-06-09,8787
10093,Sailaja,Desikan,9999-01-01,1996-11-05,1997-06-08,Staff,2021-06-09,8982
10120,Armond,Fairtlough,9999-01-01,1996-07-06,1996-07-06,Engineer,2021-06-09,9104
10139,Ewing,Foong,9999-01-01,1998-03-15,1998-03-15,Engineer,2021-06-09,8487
10183,Mechthild,Bonifati,9999-01-01,1996-08-11,1996-08-11,Staff,2021-06-09,9068
10199,Kazuhisa,Ranta,9999-01-01,1997-04-29,1998-02-07,Staff,2021-06-09,8807
10218,Zhenhua,Magalhaes,9999-01-01,1997-01-15,1997-01-31,Senior Engineer,2021-06-09,8911
10230,Clyde,Vernadat,9999-01-01,1996-06-16,1996-06-16,Staff,2021-06-09,9124
10231,Shaowen,Desikan,9999-01-01,1996-04-13,1998-09-09,Staff,2021-06-09,9188
10236,Susumu,Bade,9999-01-01,1996-08-30,1996-08-30,Staff,2021-06-09,9049
10240,Remko,Maccarone,9999-01-01,1998-10-06,1998-10-06,Engineer,2021-06-09,8282
10264,Nalini,Kawashimo,9999-01-01,1997-07-16,1997-07-16,Engineer,2021-06-09,8729
10267,Shaunak,Cullers,9999-01-01,1996-12-11,1997-04-26,Engineer,2021-06-09,8946
10284,Masali,Murrill,9999-01-01,1997-07-02,1999-07-06,Engineer,2021-06-09,8743
10298,Dietrich,DuCasse,9999-01-01,1999-03-30,2002-05-05,Staff,2021-06-09,8107
10334,Falguni,Erie,9999-01-01,1996-12-28,1998-02-15,Staff,2021-06-09,8929
10352,Erzsebet,Ohori,9999-01-01,1996-01-21,1998-12-16,Engineer,2021-06-09,9271
10360,Irene,Munck,9999-01-01,1996-09-04,1996-09-04,Staff,2021-06-09,9044
10373,Hongzue,Heijenga,9999-01-01,1997-04-26,1997-04-26,Engineer,2021-06-09,8810
10379,Mikhail,Rosis,9999-01-01,1996-07-15,1996-07-15,Engineer,2021-06-09,9095
10388,Hironoby,Kaiser,9999-01-01,1996-03-24,1999-05-28,Staff,2021-06-09,9208
10408,Martijn,Kaiser,9999-01-01,1998-10-07,1998-10-07,Staff,2021-06-09,8281
10409,Mario,Straney,9999-01-01,1997-07-09,1997-09-26,Engineer,2021-06-09,8736
10423,Dante,Cronin,9999-01-01,1998-09-06,1999-05-27,Staff,2021-06-09,8312
10437,Narain,Reeker,9999-01-01,1996-04-12,1996-04-12,Engineer,2021-06-09,9189
10459,Ennio,Trogemann,9999-01-01,1997-06-28,1998-06-14,Staff,2021-06-09,8747
10462,Sumali,Schlenzig,9999-01-01,1996-03-25,1996-03-25,Senior Engineer,2021-06-09,9207
10500,Vojin,Narwekar,9999-01-01,1996-12-16,1996-12-16,Engineer,2021-06-09,8941
10506,Kazuhisa,Kroll,9999-01-01,1996-12-01,1996-12-01,Senior Engineer,2021-06-09,8956
10527,Tetsushi,Barvinok,9999-01-01,1996-01-25,1996-01-25,Technique Leader,2021-06-09,9267
10537,Stella,Benzmuller,9999-01-01,1996-09-25,1996-09-25,Senior Staff,2021-06-09,9023
10543,Lein,Lichtman,9999-01-01,1998-10-16,1998-11-24,Staff,2021-06-09,8272
10552,Kazuhito,Shiratori,9999-01-01,1998-08-18,1998-08-31,Senior Engineer,2021-06-09,8331
10562,Shuky,Pearson,9999-01-01,1996-07-06,1997-07-24,Senior Engineer,2021-06-09,9104
10610,Irena,Roccetti,9999-01-01,1996-04-11,1997-03-30,Engineer,2021-06-09,9190
10615,Keung,Delgrande,9999-01-01,1996-03-10,1996-03-10,Staff,2021-06-09,9222
10626,Danil,Deverell,9999-01-01,1996-12-03,1996-12-03,Staff,2021-06-09,8954
10649,Vitali,Welham,9999-01-01,1997-09-10,1998-06-23,Senior Staff,2021-06-09,8673
10677,Alejandra,Perng,9999-01-01,1996-10-07,1999-10-13,Engineer,2021-06-09,9011
10684,Aimee,Tokunaga,9999-01-01,1999-10-28,1999-10-28,Engineer,2021-06-09,7895
10697,Bluma,Hiltgen,9999-01-01,1998-03-04,1999-08-29,Staff,2021-06-09,8498
10703,Giri,Baumann,9999-01-01,1996-05-12,1996-05-12,Senior Engineer,2021-06-09,9159
10708,Aral,Erman,9999-01-01,1996-05-18,1999-11-09,Staff,2021-06-09,9153
10714,Aran,Sadowsky,9999-01-01,1997-03-11,1999-11-24,Engineer,2021-06-09,8856
10733,Sangeeta,Rodham,9999-01-01,1996-02-20,1996-02-20,Staff,2021-06-09,9241
10766,Nathalie,Standera,9999-01-01,1996-08-05,1999-09-18,Staff,2021-06-09,9074
10804,Terresa,Benantar,9999-01-01,1996-04-18,1997-06-09,Staff,2021-06-09,9183
10811,Ashish,Fortenbacher,9999-01-01,1997-07-08,1997-07-08,Engineer,2021-06-09,8737
10827,Willard,Danley,9999-01-01,1996-11-07,1996-11-07,Staff,2021-06-09,8980
10831,Toong,Driscoll,9999-01-01,1996-06-21,1998-02-22,Technique Leader,2021-06-09,9119
10852,Hercules,Munck,9999-01-01,1996-03-21,1999-08-21,Technique Leader,2021-06-09,9211
10854,Jagoda,Nannarelli,9999-01-01,1998-07-13,1998-07-13,Engineer,2021-06-09,8367
10858,Kenroku,Gonthier,9999-01-01,1996-08-15,1997-01-01,Senior Engineer,2021-06-09,9064
10916,Make,Spataro,9999-01-01,1996-07-01,1998-10-02,Engineer,2021-06-09,9109
10946,Shaz,Kabayashi,9999-01-01,1996-02-04,1996-10-26,Staff,2021-06-09,9257
10995,Chenye,Hertweck,9999-01-01,1997-07-19,1997-07-19,Senior Staff,2021-06-09,8726
11013,Breannda,Vesel,9999-01-01,1996-09-13,1999-12-03,Engineer,2021-06-09,9035
11057,Adly,Vural,9999-01-01,1996-07-12,1996-07-12,Staff,2021-06-09,9098
11063,Zhenbing,Gente,9999-01-01,1996-01-09,1996-01-09,Staff,2021-06-09,9283
11075,Karsten,Belinskaya,9999-01-01,1996-10-29,1998-05-06,Senior Engineer,2021-06-09,8989
11107,Martijn,Meriste,9999-01-01,1998-05-02,1999-09-09,Engineer,2021-06-09,8439
11115,Sahrah,Demos,9999-01-01,1998-11-03,1999-01-13,Senior Engineer,2021-06-09,8254
11143,Yongdong,Rosen,9999-01-01,1996-05-09,1996-05-09,Engineer,2021-06-09,9162
11158,Masaki,Hagimont,9999-01-01,1996-04-20,1996-04-20,Senior Engineer,2021-06-09,9181
11168,Shmuel,Tetzlaff,9999-01-01,1996-07-15,1996-07-15,Staff,2021-06-09,9095
11174,Akhilish,Milicia,9999-01-01,1996-05-24,1999-06-07,Engineer,2021-06-09,9147
11177,Chrisa,dAstous,9999-01-01,1998-04-05,1999-09-11,Senior Engineer,2021-06-09,8466
11209,Xuejun,Penn,9999-01-01,1997-09-06,2000-02-08,Engineer,2021-06-09,8677
11213,Vugranam,Munoz,9999-01-01,1998-06-17,1999-02-04,Technique Leader,2021-06-09,8393
11254,Danel,Rindone,9999-01-01,1998-12-19,1998-12-19,Staff,2021-06-09,8208
11285,Randy,Koshino,9999-01-01,1997-03-03,1999-11-23,Staff,2021-06-09,8864
11306,Subhankar,Reeken,9999-01-01,1996-11-20,1996-11-20,Senior Staff,2021-06-09,8967
11316,Ult,Farrar,9999-01-01,1997-07-18,1997-07-18,Assistant Engineer,2021-06-09,8727
11325,Samphel,Rossi,9999-01-01,1999-01-10,1999-01-10,Engineer,2021-06-09,8186
11392,Fatemeh,Reeken,9999-01-01,1997-02-12,1999-04-21,Staff,2021-06-09,8883
11396,Anneke,Servieres,9999-01-01,1997-02-04,1997-02-04,Engineer,2021-06-09,8891
11410,Gro,Vendrig,9999-01-01,1997-07-13,1999-10-25,Engineer,2021-06-09,8732
11430,Georgi,Klassen,9999-01-01,1996-02-27,1997-07-06,Staff,2021-06-09,9234
11456,Anyuan,Seuren,9999-01-01,1998-12-05,2002-01-24,Engineer,2021-06-09,8222
11475,Dekang,Siegrist,9999-01-01,1997-08-04,1998-09-14,Staff,2021-06-09,8710
11479,Shridhar,Pleszkun,9999-01-01,1998-08-23,1999-02-10,Staff,2021-06-09,8326
11550,Divine,Georgakopoulos,9999-01-01,1997-12-16,1997-12-16,Engineer,2021-06-09,8576
11558,Sungwon,Hofting,9999-01-01,1996-09-18,1996-09-18,Technique Leader,2021-06-09,9030
11586,Shridhar,Orsini,9999-01-01,1997-09-09,1997-09-09,Staff,2021-06-09,8674
11590,Adel,Eppinger,9999-01-01,1997-06-26,1997-06-26,Engineer,2021-06-09,8749
11690,Domenick,Raczkowsky,9999-01-01,1997-09-23,1997-09-23,Staff,2021-06-09,8660
11697,JoAnne,Merey,9999-01-01,1999-11-06,1999-12-10,Technique Leader,2021-06-09,7886
11706,Tesuya,Remmers,9999-01-01,1996-02-02,1999-03-24,Staff,2021-06-09,9259
11718,Richard,Marshall,9999-01-01,1996-08-11,1998-01-01,Staff,2021-06-09,9068
11722,Atreyi,Sudbeck,9999-01-01,1997-12-18,1997-12-18,Engineer,2021-06-09,8574
11730,Tzu,Delaune,9999-01-01,1997-10-10,1997-11-13,Staff,2021-06-09,8643
11742,Vasilis,Narwekar,9999-01-01,1996-04-12,1996-04-12,Senior Staff,2021-06-09,9189
11743,Clyde,Huttel,9999-01-01,1996-04-17,1999-06-18,Engineer,2021-06-09,9184
11754,Malu,Magliocco,9999-01-01,1999-08-23,1999-11-06,Staff,2021-06-09,7961
11756,Abdelwaheb,Vakili,9999-01-01,1996-10-17,1999-11-26,Engineer,2021-06-09,9001
11763,Yuriy,Liesche,9999-01-01,1996-11-08,1997-04-18,Engineer,2021-06-09,8979
11774,Aron,Wroclawski,9999-01-01,1997-12-30,1998-11-26,Engineer,2021-06-09,8562
11806,Shan,Leivant,9999-01-01,1996-04-02,1996-04-02,Engineer,2021-06-09,9199
11829,Chaosheng,Pettis,9999-01-01,1999-02-17,1999-10-11,Assistant Engineer,2021-06-09,8148
11869,Fumino,Luca,9999-01-01,1996-08-12,1996-08-12,Engineer,2021-06-09,9067
11873,Venkatesan,Reeken,9999-01-01,1998-11-14,2000-07-06,Staff,2021-06-09,8243
11884,Patricia,Moehrke,9999-01-01,1998-06-18,1998-06-18,Senior Staff,2021-06-09,8392
11889,Guiseppe,Baez,9999-01-01,1996-12-25,1996-12-25,Senior Engineer,2021-06-09,8932
11925,Feiyu,Pashtan,9999-01-01,1996-06-02,1998-10-25,Staff,2021-06-09,9138
11926,Leni,Felcyn,9999-01-01,1998-09-18,1998-09-18,Engineer,2021-06-09,8300
11937,Zissis,Baba,9999-01-01,1996-04-19,1996-04-19,Staff,2021-06-09,9182
11940,Ult,Anido,9999-01-01,1996-11-02,1996-11-02,Assistant Engineer,2021-06-09,8985
11961,Sumant,Birdsall,9999-01-01,1997-06-26,1997-06-26,Senior Staff,2021-06-09,8749
12015,Kensei,Guenter,9999-01-01,1999-01-04,1999-11-16,Staff,2021-06-09,8192
12024,Mayumi,Lanzelotte,9999-01-01,1997-11-03,1997-11-03,Staff,2021-06-09,8619
12030,Shuky,Cromarty,9999-01-01,1996-06-24,1996-06-24,Staff,2021-06-09,9116
12060,Toshimi,Antonakopoulos,9999-01-01,1996-06-21,1996-06-21,Technique Leader,2021-06-09,9119
12084,Morris,Krohm,9999-01-01,1996-05-30,1997-01-01,Senior Engineer,2021-06-09,9141
12090,Shigenori,Angelopoulos,9999-01-01,1998-07-24,1999-10-03,Engineer,2021-06-09,8356
12140,Xudong,Paciorek,9999-01-01,1996-11-15,1996-11-15,Senior Staff,2021-06-09,8972
12143,Zeljko,Denti,9999-01-01,1996-01-06,2000-10-02,Senior Engineer,2021-06-09,9286
12158,Theirry,Masada,9999-01-01,1996-02-11,1999-02-17,Engineer,2021-06-09,9250
12164,Muneo,Chachaty,9999-01-01,1996-05-14,1996-05-14,Engineer,2021-06-09,9157
12187,Vishv,Bressoud,9999-01-01,1997-04-10,1998-09-22,Staff,2021-06-09,8826
12188,Vasilis,Waleschkowski,9999-01-01,1996-03-02,1998-10-15,Senior Engineer,2021-06-09,9230
12196,JoAnne,Byoun,9999-01-01,1998-08-16,1999-08-22,Engineer,2021-06-09,8333
12202,Fai,Slaats,9999-01-01,1996-03-24,1997-12-21,Staff,2021-06-09,9208
12226,Kankanahalli,Joslin,9999-01-01,1997-02-07,2002-05-30,Engineer,2021-06-09,8888
12235,Honesty,Haumacher,9999-01-01,1997-07-10,1997-07-10,Staff,2021-06-09,8735
12239,Parviz,Kalloufi,9999-01-01,1997-04-04,1999-11-20,Staff,2021-06-09,8832
